,lepton_pt_l,MET_l,MT_l,Mll_l,DR_l
0,89385.13281127106,47048.42863173488,204693.40236136343,28133.704431922073,0.5051207200810642
1,39266.56399208225,376131.8575471735,551360.1683465415,58426.68386483752,2.46842409219057
2,41520.835800828456,343732.81531821354,402135.5299116657,18283.4671120672,1.2797414415472164
3,52648.141097259504,85548.3252914603,176271.87434022521,42811.091810969236,1.4959499570945645
4,169400.36006619033,182709.25811457046,479179.2756701697,42811.091810969236,1.4959499570945645
5,23973.883952137,94181.54647559968,218527.3974629943,60367.40844736853,4.536754195125598
6,94835.02928176892,80468.56131884379,196250.1512894449,33147.01813211016,0.8237787654079312
7,140619.06760328513,57347.959122081316,220413.01728397844,38898.377776898866,1.149832415658195
8,153980.9514954517,114497.82624502294,327299.3640680246,38898.377776898866,1.149832415658195
9,211814.33697697878,92077.76730868235,318957.1055092033,8899.14002966713,0.18041103741474068
10,61171.63017942993,82528.23909275746,178992.0698715655,8121.798787531719,0.4641026319603987
11,105560.21967348896,161742.8061452424,324098.0318804131,107205.67093202035,2.5210957315481464
12,9710.884774669166,329624.3844484258,411119.4586083698,68468.64771985686,3.141098909779378
13,36542.36955656366,117149.17645584408,223302.27280849908,32246.47816183225,1.3196840608928835
14,46757.060129471814,232009.48980672346,434634.10324954445,17177.091385737684,0.6580899640199122
15,65768.14121169255,197561.03080381046,287726.84542104864,50899.48510849311,2.9714799678470216
16,72872.0056424699,181085.6788561532,349372.8301231656,50899.48510849311,2.9714799678470216
17,64253.46393936364,138132.51462689266,522882.4349232061,357544.0626500998,3.413282228997487
18,77558.66802247915,135546.92335132058,342185.0894140512,32346.10269720009,1.0206231737345315
19,35726.36419723694,126997.1794043423,203362.41586114708,7969.949273670503,0.9936398541894095
20,46917.7180343828,221634.11894067825,439949.0457308717,31805.534728009818,1.117465758777832
21,155041.73230139285,84079.06313497208,360367.864281293,17121.615953340934,0.23232402720387235
22,62547.99230887004,126438.82050920009,212368.13218020674,34497.65567698121,1.3707995004793374
23,52615.88986139821,333251.81563019287,546448.1517816887,27475.77910359668,1.345430684722657
24,82711.754107069,112717.42315921592,253140.21544807978,38582.680298907646,1.3194871789786373
25,142129.4044686752,93150.14905212149,266948.69846994325,51883.22374682265,1.0143617948208388
26,143671.2155983726,45194.395239599806,239070.76043522972,117124.95245499966,2.6629313614324714
27,135520.57655037515,90703.14385457577,342667.92607471393,16614.53519009809,0.6432474864907948
28,98637.90946566482,252474.43653817952,456713.75871514046,51224.46788464437,0.9967441447672658
29,131197.1231740999,117696.98368595829,362620.92908263765,33671.8473475094,1.0963899537328146
30,231238.93066284654,254972.33638427182,547594.4179173332,26316.1196761207,0.430846883749948
31,43498.33810668026,254120.0661486153,342410.84351699875,44854.487743295205,3.308345518087884
32,149967.56615896348,279769.2301444317,442277.8411422545,33240.13161059495,0.9031868779037152
33,101960.06985044134,299707.4461619865,448261.6427841572,38631.541761973574,0.7704503659539328
34,70603.56451831889,83366.38783684955,316269.4743111391,38631.541761973574,0.7704503659539328
35,108383.98906723145,74767.91524136749,355154.96914862486,145952.05454221484,2.771358944763337
36,18174.760919084947,227490.65254950014,304161.6881199714,10354.1088108975,0.5820764675960757
37,92279.75121931548,185672.45092162126,338585.26557336375,28179.758297060904,1.7313291891438585
