,lepton_pt_l,MET_l,MT_l,Mll_l,DR_l
0,120326.06764588498,123768.83207609181,314970.45034731744,56695.5671851892,1.7203587506256408
1,60492.884939388,163114.4525334123,309615.4821328925,56695.5671851892,1.7203587506256408
2,91953.99764999528,190778.45616643122,303759.82272441837,29129.13074547519,0.8017927637360951
3,42556.47304541578,78533.74533026808,166273.21782215757,35063.927201682316,1.2045177053110545
4,21348.08642015529,64799.18145211157,253581.3099841668,27478.120468715995,1.1439458463913441
5,10045.938743820965,123866.21460572607,329421.4226157299,27478.120468715995,1.1439458463913441
6,47807.61700290671,32695.20996616579,142105.34879480433,34767.14026897901,1.482050516029482
7,14876.523514974448,277710.5661881439,372739.842891103,77197.45867963244,3.0304918149256235
8,60494.74706490836,225132.98939864698,327423.2478201678,20911.511928452837,0.6094958363557708
9,80352.83135235567,435535.76308596303,625125.9041543544,35469.52864670924,1.3736544039120238
10,155929.12408426194,164206.58434573133,399408.9665053809,22000.933841087248,0.38178138879536866
11,15440.923242458826,766281.7265242109,925716.8636569502,75920.09337278953,3.2964304577125136
12,242494.11474325703,163387.57743194234,436448.9846323398,28900.10565933237,0.3611847432019909
13,120533.42888454496,608414.2641631664,759351.8086161972,34134.09281061317,0.7265494766397604
14,155274.57752692443,114626.96125219905,387489.9479312419,14741.79552488074,0.34490724169386205
15,113292.52471296309,109773.6918185453,239948.86605356899,42864.2303887359,1.318853018655974
16,24517.29968219973,170725.0051724089,357532.0573563624,42864.2303887359,1.318853018655974
17,136733.1656362711,124669.67314820348,372616.61602023407,23813.930657835026,0.42203380492639475
18,38599.39466486519,276631.5736098174,450913.2475445143,83038.09261241493,2.8687919604919756
19,164784.14403546782,15791.544052362453,245087.10373228794,14402.764903487636,0.3834155103563585
20,30496.267070913615,51823.87992148488,157105.0686062971,80601.35844433462,2.6567859117093975
21,11072.92994743678,178284.08470278996,213575.32225331583,21263.92102643649,2.0858970819668117
22,87873.20275889146,215665.1413398273,359098.7885882531,49781.11684072791,1.3111690368805715
23,32200.527872749008,81554.02961959282,174850.74754031943,53221.73273953384,3.400439957506582
24,37678.499872577995,41341.84663713807,119911.91978161818,32623.789207197362,1.8728353922688252
25,140259.06215995506,268802.2877105172,676573.6885867324,32623.789207197362,1.8728353922688252
26,51421.76718943408,120277.95688806138,187127.95266188364,20106.17098477273,1.1134948581787
