,lepton_pt_l,MET_l,MT_l,Mll_l,DR_l
0,23705.536893718698,113191.87142701987,155328.76479922156,18138.873635988308,1.4593758593529493
1,41014.284849641954,121224.05403262081,282198.48000132706,94255.14941968299,2.4350944530671708
2,18543.266756642333,105985.4515232958,164723.67246644932,48588.27889138818,2.881728133921225
3,49284.74526895661,115638.3993055386,202431.5061767925,37271.0781230997,1.6627169485507447
4,100246.02289868252,172669.01157155566,402180.0577834988,37271.0781230997,1.6627169485507447
5,242640.0737832556,272288.3200000855,657079.0854988318,22483.176189530775,1.3090113989960606
6,59695.65180209284,140401.65730535673,233315.06668337536,32745.66029657179,1.060122556446471
7,18403.356470011346,161487.17018348715,244489.30126742498,38194.6197025303,1.9992147670943057
8,80098.15305569871,438740.1707546078,536022.4821246756,46558.4867371838,1.4196552473750141
9,48106.60172416096,55316.19261817681,192516.01082556648,19755.57569895776,1.875616287889525
10,68601.92769606212,148161.1821909616,248186.08960844873,19414.61872087957,0.8292671678012182
11,47480.66377778696,202539.7845369495,531655.2179376237,19414.61872087957,0.8292671678012182
12,81994.43631156966,165583.62983272917,416666.70679983567,81610.20884134724,2.1876125404984093
13,53489.23590097562,87120.57356434947,189423.34451361484,28868.04530452945,1.6399033036568123
14,14681.1733962469,309412.95995828963,615729.9687885735,92935.9007823726,3.2724417576967038
15,134255.24542949363,65829.24000545687,210380.18300230827,33060.26679242193,0.5413484160095157
16,104757.99513749834,35840.21315712613,180419.9285775405,47491.29524455862,0.8427968635846261
17,28558.28675383017,51001.32126479925,201564.2764530683,57858.40427724289,2.3968820960236714
18,110938.16409804666,31710.44360955853,162658.26269748385,35228.835169359656,1.0346644301623205
19,16395.782640464204,317427.2566601504,502689.76081735996,20501.452000051682,2.1100253655296086
20,45507.80763266698,297072.75445665943,484892.6024653661,78000.4985117842,2.1600717535225105
21,52679.44428210074,67325.6902497532,198281.9976022175,49749.49573962197,3.1532238759613076
22,27819.52497681288,197765.36622799982,264784.5628215204,9809.238364674775,3.1225838676970215
23,46166.10042005941,198912.78027673037,267602.37429757434,9809.238364674775,3.1225838676970215
24,107137.29872594413,178954.48700590286,338118.0730899015,108549.61244158,2.897885574992113
25,41687.73507198616,106609.19339115835,244817.04201712433,108549.61244158,2.897885574992113
26,50842.40006716063,97517.232202758,184848.79721606005,21432.68407097508,0.6784273731887753
27,63767.51194924355,99891.3057520166,202573.84402891414,30563.0356201105,2.7778698055224647
28,25180.841498762573,61446.61815607213,123506.09600171917,10859.135929062075,2.0055183396871743
29,21248.754093969987,179074.09360000637,241098.83820874325,22621.700416829648,1.608521483651514
30,42117.6126803914,209166.39519695367,442052.3773784419,63688.8647340542,3.4896284432465423
31,197587.66088902036,264316.3811843227,503192.3053353546,47209.53641234964,0.575230883629821
32,51823.412499476755,19290.732919175796,80693.66775847187,8569.94859890905,0.9407591785550448
33,143056.0132854352,187195.98222426386,567211.0805083711,6603.059630951441,0.36386333164080326
34,68413.2535696141,196213.14341428576,343500.04172870226,83260.5908029995,2.6045294960381082
35,30794.180085050943,64165.90265804282,245521.04135782828,147013.420054113,3.167155484887066
36,12873.861825683027,472017.2847397078,581560.1607509655,52548.42269891879,2.5817213360427056
37,29383.628279492714,95258.1399363283,271758.41397918435,25642.245562907578,2.1241091875538096
38,163761.28671274346,45256.31273220235,255453.38288394155,46971.66246778394,0.5480266181051845
39,45904.3784376584,5869.354916321976,78021.60619322844,32676.009282977036,2.144029816328592
40,10822.446628220045,199089.08682314382,325705.0179342067,1021.9042764098377,0.19685952351925756
41,13043.198679868301,52313.1554631366,128700.70454920943,49662.028693010725,3.054040978929863
42,15689.271309887548,228196.74218666635,396413.415628587,49662.028693010725,3.054040978929863
43,89346.61737353912,30507.64189545706,136748.45980206816,20068.86761079401,0.8332849101852356
44,162733.24811364705,81892.74944316398,274464.81230063876,20068.86761079401,0.8332849101852356
45,94014.60628175725,134268.66660083673,294615.7446166176,107777.62468570963,1.7138044781474682
46,55854.35659179652,33609.16177206221,105389.31839529863,43938.79305359494,1.8537016106026725
47,17623.424143326392,230082.91992685717,292119.2649681366,17615.12985690951,3.0852637815113115
48,50783.35271377853,163224.6285606497,249636.47573971594,21291.192018279035,1.0194660859752913
49,41147.007863944986,288319.45144527033,402008.138789426,31921.678066915927,1.2732638451991425
50,105725.90365622689,39616.82028864885,352275.9690323645,25754.271872248257,0.7230063590624455
51,27098.369417519683,301144.930307112,392157.39945401705,12319.033106077772,0.8560148314145494
52,58945.4321624653,96286.22401246936,186035.50243713596,19401.017344684384,1.91536665789848
53,78026.58204824514,254188.69262907363,347317.47714813624,41231.45226657689,1.215614673098809
54,65262.101231083456,215488.25974422877,328817.4941923109,74580.18060000578,2.7325044688595566
55,61373.036928091904,90652.42910995185,215083.2546883686,29053.052946988217,1.4566813309102071
56,82944.84773013291,111649.02059354319,283329.0248657625,29053.052946988217,1.4566813309102071
57,21274.461185169705,152926.6035866042,204809.7960573446,31356.020869301316,2.2269326145145567
58,34686.86952619084,89651.85845642288,162459.5039218043,41239.62395024492,2.7865154311479237
59,51017.896682618724,78922.9160065964,283938.9869272012,68658.52601535323,1.9061583623020404
60,125263.53445755571,67309.99394769903,289860.9408594867,13385.244188412438,0.6247198246928297
61,100537.79730397198,82840.51908301568,214572.6683548757,38836.391881199,0.9686139244644756
62,31644.772151578996,170101.04167589723,263369.75172874576,36095.635204412065,3.109308379284268
63,98234.32846834102,338706.5447859148,578951.7620647578,24731.513807377076,0.5732388015273836
64,79848.22869621812,172858.52370237393,315478.199508949,20365.334250610653,0.8603711939304871
65,13532.67152160242,75834.18174593324,171063.74371233938,29074.25009494795,3.1685868366359955
66,89433.63031222261,210325.6088056713,350624.18429086765,6731.608579914696,0.31874612502313104
67,122678.37372100455,188670.0155622241,517550.9518308064,87905.57136901218,3.031485398574616
68,37218.012815114664,115491.09600753592,215997.2390973586,87905.57136901218,3.031485398574616
69,36447.6231137073,328714.4879500052,404349.65449722455,23307.18082204584,2.8314634779497463
70,62090.300784696345,34497.754499184244,170937.10229175066,14353.070586694206,0.3509197428682106
71,67148.22173816459,48666.281560874784,127198.64131365597,14353.070586694206,0.3509197428682106
72,83401.08105095393,87611.40701475932,440015.87612028036,108250.26173092292,3.186081899996634
73,94901.72190812568,117417.14230059313,321646.83765052014,164291.69746400177,3.2893625077346775
74,43870.70193934121,30213.34308136649,300709.9747021628,48381.356127448744,1.388237992158409
75,29741.654714461063,105462.55510341206,186329.40973753078,28935.665221498748,2.0538203602570646
76,77323.60885040922,143786.4436755501,241242.66566096822,51363.51039964889,1.6684221450995755
77,76487.3373656104,44603.99112611667,195057.10081549172,22808.998555054543,1.380046221767596
78,68919.67179810377,161034.247595935,550651.0067954154,54741.823388024364,1.003873079632669
79,31597.474012310373,120991.35091656295,215478.56897455722,62681.987984946725,2.372388307746263
80,73115.86337814927,89799.35881654553,187450.30187713564,20817.414118450346,0.8069342607994455
81,85175.47168402714,27148.74993167284,132954.30381991857,29538.008903878665,1.23199560327796
82,103513.35596449324,105096.21419401346,282775.1244908635,26323.69222773027,2.1353882849503925
83,32809.48465472476,177147.44312138608,310158.1681660356,19106.691243915007,2.995651337440744
84,45437.29120696229,43672.28941654114,135863.69251242394,58150.97226572685,1.7648603296125913
85,20968.16238988653,49214.43201547928,186065.9861815923,119886.1550468669,4.876668752531281
86,97951.74040647675,99816.24500939806,235960.57426144523,119886.1550468669,4.876668752531281
87,109532.55733826848,13396.947306597094,241204.04095913642,167025.89525366374,2.613973065902314
88,118765.57001036966,78551.48931126297,207087.15206618077,19110.14044807655,0.9120808969627416
89,8425.410911442452,236482.18666669555,299928.1846661058,40532.90763535465,2.8774925438278243
90,2465.6340257694387,128985.6981846527,233006.75584357636,33509.03801624892,3.5536266007480197
91,83237.35235606533,172666.37451168936,410563.969417918,26923.355368400065,1.0384750169432893
92,55639.58592482212,100348.00386155018,217637.97885870325,81884.32107741378,3.018894675137269
93,80502.54273100798,87131.04843294452,190610.03754186592,81884.32107741378,3.018894675137269
94,49268.789965230586,130013.22080407669,218054.4738322621,53967.27610776731,3.134227031557035
95,37483.67041506968,211821.93134221673,276308.7633359448,28819.18627766242,1.4334282545368633
96,70414.23480017362,201444.74031161427,305536.88816019444,51156.40493152124,1.3474473614295162
97,12439.413695485528,354440.62906474405,594461.0128842084,45864.62784633726,2.932897950174185
98,26189.361454194994,195109.92484418213,352512.1381828548,53088.01103534999,2.8511526786501493
99,61177.53136039084,74516.11840809918,230256.47608941473,47417.39821566584,2.558198843528298
100,29747.235412286904,226669.87636048932,438214.73666058853,71608.92462356895,2.0648342193766336
101,36440.940700314095,207256.7134411546,352414.46890672075,18233.719451704696,2.007626593740006
102,14646.889955163777,108781.36164331734,196009.3769216718,33090.84445842064,2.703529041051274
