,lepton_pt_l,MET_l,MT_l,Mll_l,DR_l
0,65299.1717154801,201210.7411324736,338359.64718872134,30273.74645615608,0.7595420563169608
1,2525.7162436010613,163594.05626560317,274858.64813679096,26361.89383091656,1.5958707113846629
2,110692.95510596516,160849.7661809139,305866.05200568645,53241.04824442405,1.3889178209028619
3,46236.89984114385,62719.3776164633,207742.73067554564,84196.23064041215,2.7885362226891104
4,5894.687108722425,226188.21964596058,322604.1935754902,29723.250954560397,1.3463858527699788
5,51798.22123370171,47716.414071018,161521.15313724973,33934.143297340735,1.1147205645598706
6,47099.38359567127,79891.90886479297,247425.95605447606,89445.84631124919,3.7032112177947663
7,47993.48765822849,62618.297297454024,174307.6069007377,36993.47460038526,1.8051227385577044
8,87238.55196171574,75888.3100321904,219512.26134233977,25818.681023490444,1.5020751883485228
9,41160.39764803936,192646.5513932984,241095.38504156715,3365.606099589734,0.27498524435102634
10,58810.66882672914,190953.2481228692,281609.1831345619,32456.47501074243,1.406989335369547
11,9499.355332738813,83808.83245651849,153138.96831791196,25964.82715534882,1.9065066417160432
12,69099.34136680068,35495.28740284528,115976.9201926058,32037.785792112663,1.2590951980768081
13,87047.9857839179,88773.54110658033,238504.7560499931,12191.704235342622,0.4040759606230317
14,17691.140854612815,238970.97344740943,317611.8174528669,5502.254977165119,1.2742020514547967
15,44755.3608598029,141647.76999538962,229324.75604364366,5502.254977165119,1.2742020514547967
16,69599.51599664835,142352.98920074303,258967.6990503635,49652.16551781687,3.003554515861163
17,163181.2992371205,285833.5112672923,701850.5483231151,101471.88625461227,2.5177365185984266
18,98946.44648394952,152509.38226753945,304226.9722939394,44280.76280485909,0.8711643205770118
19,68657.22818205223,81934.00232913044,174470.86748328927,16389.904410904477,0.7249311314494715
20,150367.50242323213,192593.14168945092,383079.3646277774,86430.3163398249,2.849590941499653
21,41299.921178270044,166414.87387080485,233904.09839954192,24655.035334251665,1.5365223247776696
22,52432.62056007973,106035.41962643154,226913.7983395997,39934.89455649846,1.172240657489939
23,29115.506896835755,86593.91038780825,186099.14237442744,54128.98273249243,2.901748875977259
24,53374.0285060276,92968.16707990936,184797.94395325627,29828.146945481152,0.9372937927469582
25,177815.33813510547,150151.9147381259,366502.47141726664,11170.231414849812,0.31250792361421115
26,42206.311930353826,141917.38797498148,247225.16882308887,35656.97458435243,2.8429023463731466
27,49410.73854063121,211424.98885610545,304028.32488621917,40152.858815993786,1.8176716023353903
28,52816.72358677019,83574.77814499961,191225.4510636195,29691.483062151186,1.1351140186580768
29,15971.842356676905,212753.7818811036,316510.93355034164,34047.832928877004,3.1223980531776547
30,42579.73487893329,129986.31214090106,238008.51056286923,32688.62647883014,2.8976622993643124
31,20508.091422886493,217779.0919838718,310671.15134688147,30165.697461488435,1.3943676004635646
32,99732.82815103716,107274.33859993108,269957.0407418672,39782.434074859375,2.5181365617044835
33,62843.00486161587,42207.57897345899,274536.6522434051,52242.93570711835,1.9410377027092944
34,19347.910601771,130712.39485021525,238622.95109559418,48355.38380405328,3.3638525595912117
35,47298.7699884164,131347.5737743232,328760.47401791124,42656.030992330205,2.7795136262581064
36,67470.47661432702,70557.94515771842,187571.62127967068,42284.28018762874,2.3952121847220074
37,89937.68567183607,203982.97090290915,340407.41174279404,16176.254332846505,0.6343875524006974
38,29328.60410332309,92842.50211106332,244570.47342274355,75121.84198545213,3.0702773937801116
39,65591.03426672114,178637.94583648245,284031.11394935986,6731.357906122918,0.6053634531489019
40,55314.475907523425,91561.56807067408,174825.51192630755,14623.073079388712,0.693573903761479
41,49083.93460207302,107694.49997398832,166012.5186533423,17963.599258573682,1.0316105770917454
42,34758.67689843545,63618.71015477782,172926.99694600538,88258.18652121449,3.1470356977841263
43,124893.48922519713,18044.968619822528,164552.58664165088,88258.18652121449,3.1470356977841263
44,50647.1921935172,133753.09820485406,374930.6918795012,8510.025876739015,0.4814009453033945
45,85275.55029288854,155197.4255934913,335546.5286380242,32753.7024325847,0.9613914059052031
46,43384.40186113399,151462.93621546682,284563.77819988,49216.21122339606,2.165804883794289
47,89981.44944701054,165908.9996719952,480331.47027126956,49807.39186635479,1.5529319591766122
48,96688.18087942452,110894.67163173713,297652.4792577562,24589.477912190847,0.4686808977079838
49,40960.30559762125,154123.348759896,278470.4124936524,23225.067564949743,2.436849876884551
50,107963.14772901233,263313.1549284378,432087.8938470999,19964.985095341883,0.4099829717464056
51,169710.46905344902,273727.8776601562,550865.5432893978,110453.98567403226,2.399586093778978
52,56086.70515687846,91454.13778301064,190344.2887385955,51327.44130983775,2.1138030191137704
53,71175.959230746,137698.3623717206,224781.11931618574,25105.652767176638,1.2720974710847373
54,99481.85245079274,171386.8787149284,399994.6060757246,145044.85685273807,2.852730017272582
55,35853.67003370119,142500.92897015208,315943.44647283363,23710.60478679693,1.098627732126337
56,90317.7459449023,47136.16792800266,191642.82675970293,88283.07654305364,2.8420121005217003
57,128571.25884976452,74540.88624449506,227098.89411071758,22222.29687189809,0.5368213029462818
58,68001.94751891233,213871.4026801051,668619.9300768146,268303.5738268906,4.007700491150584
59,103831.39101432275,120385.57695305403,342915.3798160006,106693.13583784034,3.020071607733232
60,118717.21965327025,153299.72026942752,330668.4494537124,31898.11151585073,0.9177740934975985
61,8598.811400518643,150270.06066970516,191434.60335281843,19839.437742008435,2.2059198253484897
62,40536.62912518545,189849.514942514,264858.0950255415,12904.81276035576,0.9468707047246471
63,26949.223836337664,246065.29369272434,334415.62081819726,62884.74146969347,2.4846128609787113
64,73657.12782245068,289006.7370462349,406512.5792452528,32303.94584337818,0.9795891440047975
65,62414.92916434642,62506.42247276454,168178.96595907668,27985.097075254867,1.297161606211895
66,48535.82009523959,228112.27458846106,363215.1806634445,77339.48414480539,3.3887900572968643
67,91129.8464500966,121306.9592606974,239428.4778693602,66910.25278440714,1.6520874109898622
68,16157.122922482906,190841.11192785457,249829.77311616062,35588.56992875453,3.0460033875144594
69,11204.950528226667,248940.61431075263,323869.143788989,39870.579420213704,2.8260880427807837
70,104383.85457227052,165597.6574460696,307992.8617085295,17592.806084719232,1.0149438509335231
71,74964.49630134924,121615.00906193047,328222.45663406875,49397.89795463855,1.415810803900065
72,81131.59522529496,15257.673012624009,123022.25007971935,17429.79807171486,0.5384886839484367
73,10539.936747055266,109365.00130234752,138380.8661189124,23366.624775353746,2.537327845603847
74,38829.8741103811,114509.5357122572,293432.86007809173,35905.07552537963,1.595398202761143
75,97164.74640530585,141245.1538670126,259883.16785231218,39246.590438027204,0.8839308195395673
76,32323.385997907953,60719.03853020671,148170.65304707037,25738.64608686877,0.9743763935464899
77,59633.28438956177,215012.43990772616,328638.2429353435,29422.67190364238,1.1131895994483278
78,43911.34429517224,71006.72676297894,283451.105977621,81862.19421515141,3.2614013979590215
79,98928.88177940386,68206.7213182142,189144.17164922613,37860.65816121494,0.8026700932693923
80,34029.96650764907,84572.43288854585,200578.20013193946,26692.296532318745,1.1361786760644774
81,72274.3386476353,264557.9290642855,369540.1299749907,44198.63425628971,1.1619844366433596
