,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge
0,136034.54613187505,15946.349740939477,10098.03079998568,-0.6142443159219312,-1.6699623671193453,-0.927610662371479,2.890115952660786,0.17132512256193022,-1.7014914627954905,123768.83207609181,0.7954632754391744,11,11,11,1,1,-1
1,61646.166342413926,14181.131879827413,12484.898061578495,-1.4951979478621624,-0.027455246373573248,0.2963576478445479,0.7461435547737353,-1.5721871425486709,-0.47325275647882653,163114.4525334123,-1.8645160898277309,11,11,13,-1,-1,1
2,81590.97365287849,15342.552200080023,5004.168956534738,-0.04076847086022244,0.7596853722513003,-1.4581867882978068,-2.0389759327540657,-2.0852931112903215,0.9744140623421619,190778.45616643122,1.3668054329793708,11,11,11,-1,1,-1
3,32642.536159077117,24142.879937516886,12325.398249625161,-0.13698615738845774,0.9393914438770654,1.3179080022677012,-1.0476621717716237,-1.588286035378926,1.9835855681061911,78533.74533026808,-0.4705013042468563,11,11,11,-1,1,-1
4,58125.16370879262,47247.97947881458,10958.887805512093,0.7135743644642873,-1.388995497131509,0.9688153844337449,3.072501067583249,0.33429532384972355,-2.0955770155138462,64799.18145211157,1.8971903726396484,11,13,11,1,-1,-1
5,41849.86424811156,37921.63816221398,24943.687488414227,0.4199422371382116,1.519462109547223,2.521216701471649,1.207995569893105,-2.373278743192865,-0.46222772140932694,123866.21460572607,-2.0152269332539574,13,11,13,1,-1,1
6,26568.453047138333,18787.754137386673,14589.156684687596,0.7061466069159711,-0.5881831601887086,-2.148323443149259,2.6313458372564114,1.9094149637996798,-2.5922436218137803,32695.20996616579,0.3962437319483107,11,11,13,-1,1,1
7,45272.64742441847,32763.597741670157,2575.642650552433,0.5217069441423621,0.6981303608574142,-1.3040347611124488,2.763994378001361,-0.26135773677235324,1.4949912749326835,277710.5661881439,-0.277921785557373,11,11,11,-1,1,1
8,62472.02114529288,19700.480173758428,19322.629955546625,-0.11167758031262846,0.18952853473188885,0.0754828244065994,2.3695615220311854,-1.162373334225064,1.7895131124649188,225132.98939864698,0.8043119702167346,11,11,11,-1,-1,1
9,115329.69117805125,41863.99246175099,5677.094136342982,0.38799731980864866,0.9320278369131534,1.4068504241548963,-0.7285313617295363,2.7028189729313126,-1.649869938557247,435535.76308596303,2.8386612113290313,11,11,11,1,1,-1
10,144010.1461047852,23341.023887811083,10323.197485845834,-1.085633368363955,-1.1040239735119395,0.5928649454203665,0.12876828068252108,0.5101064697913636,-2.7073743483735866,164206.58434573133,-2.707963549159828,11,11,13,1,-1,-1
11,34708.61114234582,31886.975253426197,15041.948324345569,-0.6578422281972379,-1.7080820191326413,-1.5530978650358462,-0.26985617195263684,2.8886771315518693,-1.9846313321082185,766281.7265242109,-0.36124965185142166,11,11,11,-1,1,-1
12,216412.17268095945,29313.66866849558,3101.254872999357,0.5928575832267376,0.9397584804804272,-0.8560645131100891,-2.301910130372447,-2.2013408199120823,0.8490863535302379,163387.57743194234,-2.3691776987745623,11,11,11,-1,1,1
13,93064.33378176735,24719.68145510576,7719.211155925877,0.49202598569885997,0.3638886551085209,-1.6545002703253717,2.085938827940974,1.3707780302774752,2.0934807813491756,608414.2641631664,1.5596458946977294,11,11,11,1,-1,1
