,lepton_pt_l,MET_l,MT_l,Mll_l,DR_l
0,60397.16315792772,80650.15573026778,143345.86433564918,12.753173384907514,0.02375937975373608
1,36158.8085535461,11138.1079071736,145604.3432140231,12.753173384907514,0.02375937975373608
2,114820.78956453639,31730.719436333547,182756.71514152482,24427.82985223293,4.519953456372979
3,5008.424332611062,101448.06701636949,154672.73845815109,13471.89505125226,4.736649279298338
4,74283.91238337872,24368.822528553406,99698.08717528742,30.201797374382465,0.23840646394044307
5,40257.43883077792,72000.50230904872,169012.58747892483,30.201797374382465,0.23840646394044307
6,46607.77995063001,15714.489978345882,82692.3037152874,41678.897948725105,3.115799634512107
7,27274.602115258567,68268.0455800137,143536.85189624698,5059.581940684197,3.3179009768787395
8,24757.962856190996,31886.873689423053,77014.03591339092,5059.581940684197,3.3179009768787395
9,51914.56595281944,88039.96933046736,305481.5758525251,207278.06280418302,2.9821680176847867
10,22763.943034784388,12714.31473823071,46534.240269775575,2474.9261414166745,1.8144662670590317
11,113408.62656156994,68845.33137372976,343313.60884061805,30653.38856384669,3.9076596300755804
12,141172.82793789884,114835.64334106541,260760.12894711026,2469.6137563338643,1.0049676208702938
13,140404.32149853348,28333.963314389384,241815.2364828882,69190.88195094868,3.167592456263328
14,26005.97356270204,64939.99431563598,149963.7525768094,4415.052147599556,1.5022828618902961
15,50563.509758662076,44287.76492912806,285222.2326012289,4415.052147599556,1.5022828618902961
16,36620.05318081329,49308.475937194846,124292.1176148569,4415.052147599556,1.5022828618902961
17,46931.14804844499,120609.99334727165,236208.59438754647,89187.13902453183,5.476389815336842
18,38230.62630191816,9945.236220097522,88517.49222308463,35472.67132703416,1.9995847784126608
19,33264.13160436537,60096.478578451824,264182.81916770857,72421.78856475613,5.746355312738795
20,66757.69585030332,73488.7428047828,224933.74728432746,16079.183600078259,0.913220166249768
21,43596.70076958562,78601.73738038058,127942.43342710969,16079.183600078259,0.913220166249768
22,15542.931713319058,82915.26342219452,150644.7018048679,4646.896551116963,0.897900620734329
23,104762.37594001733,103555.97082956706,258174.60609780473,44836.80021848364,1.093786836559024
24,25215.24549016301,55282.94458540254,116555.24984284927,44836.80021848364,1.093786836559024
25,24125.851083231493,74405.77361870014,180243.61717888975,1994.8896394384037,0.11041237494454022
26,3871.034155597917,75841.91617223818,86346.27987396954,2793.1179982941767,3.2876140072479267
27,24103.26206113457,108966.82638148857,158938.11291594227,2793.1179982941767,3.2876140072479267
28,22321.23516479229,82484.79389220479,220794.11188023,19211.389921389808,6.574809607419177
29,51698.112818532725,57625.35038198972,310072.5683969212,24546.85076158681,2.1919358494088477
30,180322.76660559795,54693.267090708025,310601.87356194,138361.42581198487,1.4740297220516851
31,106315.19044778576,112926.37142023639,335803.6924994412,6458.036260718663,2.8190432195642674
32,1103.6174286487117,130947.02957830876,134753.29748574225,883.8252489950798,1.772342744458885
33,75962.42320150949,10800.501194782535,99878.71834765554,31618.831558288242,1.0537368377570806
34,9574.056187797001,18686.710845065183,88986.54714053184,31618.831558288242,1.0537368377570806
35,31414.47303871919,50247.86701925671,137414.0950662804,31618.831558288242,1.0537368377570806
36,39072.523710455076,39471.84343794133,91668.37418523259,17346.21651645119,3.4647685572542954
37,27559.87753275108,75154.24472456862,140032.06757562328,16578.03082854097,1.2775383833563454
38,64947.911480106035,29128.169515926013,150622.56252349206,16578.03082854097,1.2775383833563454
39,36694.16384706181,33091.55142721975,90423.84760682649,25113.310067056194,3.244268346384856
40,73101.45919805346,143914.75721433802,228813.23011684287,30346.155867365163,1.1496800938278313
41,13872.187163519164,21566.39985541666,203593.90869851122,129218.25449949203,7.473829284592067
42,77905.21103507458,23954.300101327135,115858.11768551187,28724.972142803654,4.192127242071803
43,28347.987053205077,61390.6734098434,91164.80002116188,495.78401117654397,1.8449019225988228
44,27707.58170627262,69558.6157155529,108306.14293022707,9835.32306685642,0.6624088534140886
45,23270.893994874612,81910.68411914544,155277.60725869617,64008.77506921285,3.5691414063202562
46,144385.0582376436,8577.690184244448,169516.30885103607,64008.77506921285,3.5691414063202562
47,7458.735188828107,132453.81824294478,359348.9040263531,64008.77506921285,3.5691414063202562
48,26728.824893575227,68588.86222362256,104318.54357534155,64008.77506921285,3.5691414063202562
49,803.4269850848326,36968.76974500026,40602.62541614667,39.92762540942509,0.604239862105127
50,98096.16499721483,80898.5195299894,253581.04745836166,39.92762540942509,0.604239862105127
51,27876.498567934308,75222.34864139155,232433.09478533853,102551.25404852166,3.1041178812107213
52,17787.003349179307,185719.35833151377,412775.24996677495,102551.25404852166,3.1041178812107213
53,15615.32105191909,169149.18613390464,201774.51677668703,26015.917830778755,2.3179888038916276
54,11332.625952453196,22409.801312696643,66474.72398559997,27440.547807799307,2.8076637742153956
55,56139.40208979092,22972.384325281528,247816.86742065308,22922.41182390516,3.655668922532201
56,15451.624923309775,106565.62366713407,128650.6395262299,8.086847851167583,0.032196911771986365
57,76068.31432993572,59387.438346166615,172181.30806811276,8.086847851167583,0.032196911771986365
58,37645.24668962454,47988.69989187224,114888.29911903733,41268.33893349695,2.331883261344461
59,64874.80172579685,40993.342176255086,167857.22580772097,41268.33893349695,2.331883261344461
60,19891.037650071372,89337.28166328004,223658.26136432303,9076.432712672637,2.0763345005868485
