,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge,visible_pt,transverse_mass,dilep_mass,dilep_DR
0,529.5496467250497,529.5496467250497,398.0200087070257,-0.9373110672092563,-0.9373110672092563,-0.9514801186625725,0.27390155031240726,0.27390155031240726,0.2785799210884182,140807.25694215467,1.38205314927937,11,11,11,1,1,-1,1457.1161361970624,142950.098639546,6.939063052350222,0.014921433316024205
1,9755.368163016126,9755.368163016126,3639.078692169837,-1.7614220131907565,-1.7614220131907565,-1.7676278693238299,-0.07162246713965367,-0.07162246713965367,-0.06330488952321635,413071.0685124225,2.06346882934409,11,11,11,1,1,-1,23149.70892689459,478037.6302676437,62.09562241985733,0.010377607997504203
2,12854.67905557508,12854.67905557508,3358.6926961962376,-0.031069098036857493,-0.031069098036857493,-2.3039455293224433,-0.08089111378373592,-0.08089111378373592,0.3160356025508082,98298.40863160754,-1.9746027343523584,11,11,11,1,1,-1,28836.171242945027,139920.5873660078,18545.143716456914,2.307275035628311
3,30167.806362017036,30167.806362017036,2700.883748575227,-1.1700804870201456,-1.1700804870201456,-1.1539391393351375,-0.6466185979291871,-0.6466185979291871,-0.7124452844081254,63590.32002535218,-0.08774490505845788,13,13,13,-1,-1,1,63030.89729806681,148896.96806513384,723.8069604747816,0.06777680840733616
4,798.4264643124673,798.4264643124673,513.5992865054002,-1.2681628530072988,-1.2681628530072988,-1.2682494657235002,-0.6568980223576308,-0.6568980223576308,-0.6568517046817749,198087.7095851827,2.1508505225477967,11,11,11,-1,-1,1,2110.452214713487,202105.76708443207,0.828007682439095,9.821959939072254e-05
5,5527.427836153621,5527.427836153621,2593.7800479356633,-2.0201086382736313,-2.0201086382736313,-2.020225750625625,0.24465362319244754,0.24465362319244754,0.24426601746253854,46690.43402869641,2.0109839885560348,11,11,11,1,1,-1,13648.635562428239,85178.13214774213,-3.6241159512083825,0.0004049117247596402
6,14821.214517091872,14821.214517091872,8788.167682055451,-2.048208541754809,-2.048208541754809,-2.0534709913595295,-1.8799502349665966,-1.8799502349665966,-1.892856815961779,116893.57257447066,-0.4214841631835473,11,11,11,1,1,-1,38430.03213741642,224933.1375778432,160.72014346585817,0.013938192451943863
7,15079.10391024616,15079.10391024616,5858.974226437889,-0.6418646376546833,-0.6418646376546833,1.4590212254448762,-0.8352142142566384,-0.8352142142566384,3.1216575179438126,289520.66871428315,2.6278320736920016,13,13,13,1,1,-1,26486.5292699685,339277.5659657636,29225.23319396623,3.13455838339371
8,51485.87565066956,51485.87565066956,9577.881021337378,-1.3857335920617513,-1.3857335920617513,0.20781902241007402,2.768934538940262,2.768934538940262,-3.0619287821577297,335635.8657716886,-2.3425477751663344,13,13,13,-1,-1,1,111664.92031037693,530830.8715033118,40497.5878753949,1.6565038829362242
9,14261.350974935742,14261.350974935742,3939.927694724605,-1.1089106299508216,-1.1089106299508216,-1.3310423384919992,1.5300581593782872,1.5300581593782872,1.429673709807433,464042.8403970701,-1.4756640206757459,13,13,13,-1,-1,1,32445.197532995975,517961.85964028776,1846.4212351321748,0.2437612226238333
