,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge
0,59398.268813448616,52080.897571596266,24280.24662068312,1.21691498059789,0.837849425935546,1.0685188686259812,1.4928953521563104,1.159044716207025,-2.304250190543638,47048.42863173488,-1.2665992939401451,13,13,11,-1,1,1
1,52813.199458884694,41332.38330504902,15265.190440438615,1.4292941317850234,0.6818046542637409,-0.799010996060593,-2.3497293677054767,-0.4221354137153989,1.552782941220156,376131.8575471735,1.5787727155074607,13,11,11,1,1,-1
2,23091.643515563024,22812.982960374204,8748.227530804133,-0.48980690938308424,0.09057822811569004,0.44237396759950876,-1.2260647337506565,-2.7749893708547244,-2.102864009412601,343732.81531821354,-2.572086353716688,13,11,13,-1,1,1
3,49743.90968284647,14142.992265807248,10284.098291999058,0.0388241823958202,1.4664157786877083,-0.31935839763359525,-2.7265888205240745,3.1095522960792246,0.46689283728050424,85548.3252914603,0.864717496602132,13,13,11,1,-1,-1
4,179337.04538512634,45000.322643398205,23388.49831005741,-0.7662495037773,-1.3486086548885015,-0.08586766189769024,-0.021289252973428933,-1.4452252511564414,2.5348724692985547,182709.25811457046,2.5154889846816966,11,13,11,-1,1,-1
5,13152.160063000432,8851.700698830875,4892.799500253177,1.9703891597716467,-2.6099612525594598,1.8371395666262638,-1.27965591882473,-0.8623979609208434,0.035061191903045456,94181.54647559968,0.8410706027747826,13,11,11,1,1,-1
6,82892.86351423542,18615.944179221024,7237.325607950516,0.0077553060108798985,0.8004977478377672,0.7437470943648439,-0.8033882842180485,-1.0273768447816618,2.7958290804855466,80468.56131884379,2.9697599063526843,11,11,11,1,-1,1
7,137770.14092395824,9285.070616564448,7887.259582218353,-0.1262316849239651,-0.14935208606781034,-1.4336349699549846,-1.471966097226786,-0.3223661532683201,0.33898265163804797,57347.959122081316,-0.3560276421009801,11,11,11,-1,1,-1
8,167831.45073733048,19393.350977837763,13383.856562888892,-0.036564985170377276,0.8547436319151168,0.8843177985036619,2.149574477114279,-0.6374182237620092,0.8096716004088722,114497.82624502294,-0.3244938115713812,11,11,11,-1,-1,-1
9,205310.7647811971,11883.41880088205,6924.151701584905,-0.1956181673373486,-0.20384367623541613,-0.7955676968799787,2.3971559520494545,2.5773793784524357,-0.023521686382676297,92077.76730868235,2.20038581264057,11,11,11,1,-1,1
10,38722.7980526964,17364.758524479967,7768.372029079088,-0.09702528944129588,-1.9179806254535352,-0.5611088279591713,1.8111244130063187,2.4669001755678845,1.806914630435104,82528.23909275746,1.9869103111096271,11,13,11,1,-1,-1
11,110088.10072449184,28181.086168064874,17739.737846962762,0.026617284249825433,0.3428990640969216,0.7928189745607386,1.6203018366236115,-2.161705843243785,1.3932686326103778,161742.8061452424,-2.590814499528417,11,11,11,1,-1,-1
12,33055.151584626554,23042.390740015944,4037.0704865355883,-0.19537277138509673,1.193315609062697,1.2728420864023715,-1.1769512059902087,2.2887801187743175,1.0334581729256096,329624.3844484258,-1.5338810530907112,11,11,13,-1,1,1
13,23043.406581058953,22756.62043126328,10194.195141806773,1.8077535535096176,0.5203260449189294,1.9399780243197842,0.06217109391350881,-0.22782275205344496,-2.7502351839685835,117149.17645584408,3.092051458792757,11,11,11,-1,1,-1
14,38770.97309833256,17917.210802734844,7926.769198767964,2.1184040216486024,2.433885910681343,-0.037330286207411606,-2.211675615732803,-1.6341346401855585,1.1743787315202274,232009.48980672346,2.286312940691785,11,11,11,-1,1,-1
15,75554.25176868096,7450.586829339947,3423.527281753342,0.14805853789352075,-0.6551714952277146,-0.8345520350018434,-2.9602871250042835,0.46203909560564166,0.8169307983947891,197561.03080381046,-0.21957878151564195,11,11,13,1,-1,1
16,91971.81777022473,24620.397077067217,18742.129772851607,-0.9888928244912812,-0.3645799525038424,-0.8535499739696253,-2.438030345074701,2.0397868709810845,0.0052340869208214805,181085.6788561532,-0.49596343436670415,11,13,11,-1,1,-1
17,132752.73632170435,89711.77853203114,9642.27586639642,-0.553416108718474,1.6309149455220584,1.0870063538122248,-0.46070722019086074,-3.083528872585567,2.797286970046462,138132.51462689266,-3.0118809362663437,11,11,11,-1,1,-1
18,68855.99041436537,13397.777358985588,6851.999777043451,2.1353318446627947,1.1178019045830623,0.6530199660924331,-0.5364598650080633,-0.615860644634487,-2.8990242268746873,135546.92335132058,-1.6872356843182905,11,11,11,1,-1,1
19,34214.36430705399,2041.5530562331912,955.975009866484,-1.588313851288252,-1.5236035589647527,0.3628867299605921,3.070755733823109,-2.2208990705977576,1.9141293471350593,126997.1794043423,2.187053769103299,11,11,11,-1,1,1
20,51675.70661768857,30085.972888847464,16725.13805153851,-0.7835671195756548,2.22773797597576,-0.29948186982497477,1.5373517195657305,-2.186800170176372,2.5445216123915326,221634.11894067825,-0.15155568117151041,11,11,11,1,1,-1
21,106506.4682492659,50803.42169265612,2389.5331379616723,2.025270382833213,1.8046863471521164,1.8507673061872822,-0.5983711306621196,-0.671289830725041,2.9417656213360157,84079.06313497208,-1.6856671878235368,13,13,11,-1,1,-1
22,58964.97908769161,12526.263791995892,5615.472079982331,-0.40053276082091616,-0.5739356163903124,-1.3587271792283382,-2.7931526470485717,2.130244911916324,-1.32999339306773,126438.82050920009,-0.6838730645803861,11,11,11,-1,1,-1
23,44734.135475513875,13722.559815653034,10864.45451225947,2.204944084146209,0.34851901973712995,2.188897887724838,3.09965601447659,1.4926977208837138,1.7543210201448125,333251.81563019287,-0.9319568381269632,13,11,13,-1,-1,1
24,86133.35264965527,18315.625872229433,9146.08791989105,0.44905498399839455,-0.8556765498715938,1.6140561347900824,-2.722030253108662,1.2076037120598724,2.9416239942014086,112717.42315921592,2.5064463665175842,13,11,13,1,1,-1
25,133535.09850347156,19345.386354268587,8070.217067545085,-0.07055551869354398,0.6949375962715109,-1.296595861803102,-0.5347369517882963,0.13080804423620312,-3.1141292664758877,93150.14905212149,2.956653472450613,13,13,11,-1,1,1
26,145153.10185164257,17761.91124756456,10369.478420138328,0.6688867854050923,-0.6353719449848585,0.8933429456108263,-2.4727935723704118,1.4887301315813937,-2.293894701333176,45194.395239599806,3.052265917051258,11,11,11,1,-1,-1
27,146380.50503328245,22262.655960383017,4714.3473683642,-1.4478151723895678,0.30311075338984766,-1.5153868180222323,1.0750860706868939,-2.8794886845156804,0.4353975514971098,90703.14385457577,-2.126084032436735,11,13,11,-1,-1,1
28,58605.12871902225,48213.3031589525,8789.92281011963,-0.8232261424363156,-0.5183591564671343,-3.182468093166209,1.6616614496103073,2.6106372190553944,0.8831464198287746,252474.43653817952,1.6318177825946247,13,13,11,1,-1,1
29,125681.4841097052,7848.923972163447,1298.5812054950381,-1.8264313806060375,-1.2534810406753918,0.2676217684147842,1.891195742414359,0.9564236639804764,0.8375918995759452,117696.98368595829,0.4040309987724485,11,11,11,1,-1,1
30,203937.63488942548,29877.760791134304,18517.812450065234,-0.7856192795111264,0.1703147063893179,-0.6448145211665576,0.007913054046066792,1.2608549545372738,-0.39927616150926787,254972.33638427182,1.232038750039007,11,13,11,-1,1,1
31,36053.00535238083,7217.4434621711325,2591.3209693051185,0.6916251994114978,2.149003001197521,-2.414073593972515,-0.5898714846026741,-1.0851707898779626,0.5502096843608683,254120.0661486153,-1.6638178212942367,13,11,13,-1,-1,1
32,144736.2630532869,9806.120753937303,6722.950273926686,0.10523924096481092,-0.2513935514289011,-0.2788555145599249,1.9156435958329874,1.0858486887583993,0.04113316087005144,279769.2301444317,0.33350521921992066,11,11,11,-1,1,-1
